epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2575,1.5435,2.75317,0.01879,0.17032,0.25253,0.09879,0.04081,1.89177,3.86184,0.0369,0.000546984,0.000546984,0.000546984
2,48.2988,1.51597,2.04863,0.01796,0.46437,0.37573,0.38243,0.15664,1.88951,2.42331,0.03226,0.00109719,0.00109719,0.00109719
3,66.4329,1.58937,1.78406,0.01915,0.42185,0.33433,0.29532,0.10824,2.0932,2.38055,0.04316,0.0016419,0.0016419,0.0016419
4,83.8481,1.68731,1.76327,0.02126,0.35645,0.3649,0.27604,0.09657,2.18451,2.4345,0.04423,0.00164225,0.00164225,0.00164225
5,99.7134,1.69737,1.72481,0.02041,0.44716,0.36111,0.34787,0.16439,1.9547,2.52742,0.03539,0.00163399,0.00163399,0.00163399
6,117.39,1.59217,1.62542,0.02003,0.3642,0.39268,0.30863,0.14893,1.81657,2.41505,0.0346,0.00162574,0.00162574,0.00162574
7,133.383,1.57871,1.6032,0.01858,0.39751,0.43099,0.39037,0.18522,1.83911,2.137,0.03607,0.00161749,0.00161749,0.00161749
8,150.611,1.57395,1.56051,0.01838,0.43708,0.44325,0.38096,0.18161,1.9044,1.93732,0.03467,0.00160924,0.00160924,0.00160924
9,166.661,1.51908,1.49658,0.01764,0.52383,0.5379,0.54111,0.2587,1.78527,1.76277,0.03202,0.00160099,0.00160099,0.00160099
10,183.994,1.47029,1.38197,0.0168,0.51665,0.48906,0.50242,0.25914,1.82555,1.80062,0.03563,0.00159274,0.00159274,0.00159274
11,201.274,1.48122,1.38741,0.01742,0.51699,0.5352,0.51978,0.27638,1.65039,1.65872,0.0288,0.00158448,0.00158448,0.00158448
12,218.746,1.43688,1.3489,0.0171,0.58129,0.49747,0.5514,0.28963,1.72603,1.51838,0.03092,0.00157623,0.00157623,0.00157623
13,236.058,1.38405,1.29374,0.01639,0.58072,0.52489,0.57652,0.30839,1.68568,1.51062,0.03267,0.00156798,0.00156798,0.00156798
14,253.238,1.39741,1.31252,0.01611,0.58557,0.48767,0.54588,0.31259,1.55895,1.76478,0.02746,0.00155973,0.00155973,0.00155973
15,270.506,1.34265,1.23658,0.01517,0.62927,0.55467,0.60105,0.34694,1.56699,1.60958,0.02799,0.00155148,0.00155148,0.00155148
16,287.926,1.3078,1.1959,0.01463,0.5905,0.52146,0.54939,0.31743,1.53275,1.57332,0.02554,0.00154323,0.00154323,0.00154323
17,303.884,1.34554,1.24416,0.01504,0.59651,0.59772,0.6207,0.36883,1.49941,1.35803,0.02507,0.00153497,0.00153497,0.00153497
18,321.272,1.33294,1.24592,0.01423,0.65654,0.56818,0.60625,0.35113,1.56212,1.3588,0.02895,0.00152672,0.00152672,0.00152672
19,337.357,1.28686,1.15529,0.01346,0.68014,0.50977,0.61404,0.38042,1.47504,1.44618,0.02473,0.00151847,0.00151847,0.00151847
20,354.757,1.29369,1.15014,0.01451,0.6142,0.56692,0.60932,0.36053,1.51615,1.35865,0.02602,0.00151022,0.00151022,0.00151022
21,370.894,1.27674,1.16061,0.01361,0.64627,0.56439,0.64874,0.37126,1.54448,1.32478,0.02562,0.00150197,0.00150197,0.00150197
22,387.059,1.25232,1.12173,0.01366,0.6112,0.56944,0.59124,0.34776,1.51626,1.38172,0.02702,0.00149372,0.00149372,0.00149372
23,403.197,1.26567,1.15065,0.01388,0.72161,0.5218,0.61755,0.37123,1.51641,1.34631,0.02665,0.00148546,0.00148546,0.00148546
24,419.363,1.22876,1.0749,0.01353,0.68174,0.59217,0.63485,0.3876,1.50848,1.41407,0.02558,0.00147721,0.00147721,0.00147721
25,437.27,1.22419,1.1042,0.01343,0.73735,0.55605,0.65208,0.38792,1.50882,1.32079,0.02657,0.00146896,0.00146896,0.00146896
26,454.628,1.2027,1.03159,0.01321,0.69687,0.58712,0.66105,0.41313,1.42003,1.30584,0.02303,0.00146071,0.00146071,0.00146071
27,471.977,1.20413,1.09003,0.0131,0.64647,0.58793,0.63666,0.41088,1.38356,1.36307,0.02255,0.00145246,0.00145246,0.00145246
