epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0988,1.55702,3.10828,0.0223,0.29722,0.34556,0.21657,0.08966,1.85292,3.45891,0.03509,0.000551326,0.000551326,0.000551326
2,64.6935,1.57667,2.18989,0.02133,0.43229,0.35227,0.32418,0.14067,1.97449,2.55535,0.03995,0.00110151,0.00110151,0.00110151
3,97.836,1.68521,2.00058,0.02229,0.42958,0.39402,0.35226,0.14068,1.91535,2.42749,0.03819,0.0016462,0.0016462,0.0016462
4,131.083,1.77826,1.99535,0.02366,0.29955,0.34217,0.20977,0.07857,2.05212,2.37827,0.04477,0.00164225,0.00164225,0.00164225
5,163.123,1.71313,1.8607,0.02182,0.40831,0.328,0.29751,0.11385,2.07704,2.22118,0.04642,0.00163399,0.00163399,0.00163399
6,195.51,1.69569,1.84252,0.02234,0.52983,0.44192,0.44858,0.19978,1.8169,2.0861,0.03698,0.00162574,0.00162574,0.00162574
7,228.797,1.6006,1.71717,0.02015,0.50049,0.42424,0.4016,0.18054,1.9441,2.11746,0.0402,0.00161749,0.00161749,0.00161749
8,261.508,1.61109,1.6773,0.02027,0.42755,0.4746,0.42667,0.20836,1.76354,1.89203,0.03225,0.00160924,0.00160924,0.00160924
9,295.221,1.56079,1.61464,0.01925,0.50628,0.47935,0.4138,0.18101,1.84229,1.937,0.03561,0.00160099,0.00160099,0.00160099
10,327.478,1.5063,1.54593,0.01826,0.59683,0.46338,0.51713,0.28073,1.63772,1.74739,0.03071,0.00159274,0.00159274,0.00159274
11,360.803,1.47874,1.45721,0.01882,0.56406,0.5101,0.5274,0.28068,1.75521,1.8823,0.03278,0.00158448,0.00158448,0.00158448
12,393.153,1.47251,1.44953,0.01883,0.61284,0.46465,0.49049,0.21258,1.8607,1.80702,0.03609,0.00157623,0.00157623,0.00157623
13,425.384,1.46901,1.4278,0.01852,0.5891,0.5101,0.51936,0.27237,1.74267,1.72485,0.03333,0.00156798,0.00156798,0.00156798
14,457.64,1.41249,1.36976,0.01754,0.59568,0.54924,0.57573,0.3258,1.61904,1.56924,0.02765,0.00155973,0.00155973,0.00155973
15,491.145,1.3553,1.30742,0.01645,0.55508,0.56439,0.54547,0.30143,1.6238,1.70627,0.03014,0.00155148,0.00155148,0.00155148
16,523.568,1.37424,1.32994,0.01659,0.60659,0.52658,0.57483,0.31881,1.60372,1.52967,0.02798,0.00154323,0.00154323,0.00154323
17,555.949,1.36912,1.32661,0.01666,0.53704,0.59722,0.5489,0.2992,1.58089,1.5973,0.03006,0.00153497,0.00153497,0.00153497
18,588.341,1.33689,1.27146,0.01596,0.55785,0.58915,0.56424,0.31158,1.65938,1.56277,0.03182,0.00152672,0.00152672,0.00152672
19,620.842,1.31896,1.25372,0.01467,0.62122,0.54789,0.5915,0.352,1.54881,1.60621,0.02757,0.00151847,0.00151847,0.00151847
20,654.307,1.34348,1.2311,0.01698,0.5909,0.57543,0.57118,0.32842,1.56732,1.57983,0.02807,0.00151022,0.00151022,0.00151022
21,686.509,1.31605,1.21257,0.01582,0.55848,0.56566,0.55088,0.30437,1.65343,1.58109,0.03094,0.00150197,0.00150197,0.00150197
22,718.904,1.28257,1.1605,0.0152,0.65011,0.5592,0.60693,0.34653,1.60147,1.44125,0.02957,0.00149372,0.00149372,0.00149372
23,751.195,1.2639,1.14502,0.01477,0.6643,0.57422,0.6279,0.37008,1.50186,1.47603,0.02707,0.00148546,0.00148546,0.00148546
24,793.882,1.27234,1.15117,0.01521,0.67119,0.56566,0.62998,0.35973,1.59633,1.66445,0.02828,0.00147721,0.00147721,0.00147721
25,826.103,1.30278,1.1774,0.01519,0.62939,0.5693,0.60183,0.34829,1.52426,1.45193,0.02906,0.00146896,0.00146896,0.00146896
26,858.232,1.26119,1.10729,0.01505,0.68995,0.60606,0.65542,0.40584,1.4847,1.33208,0.02696,0.00146071,0.00146071,0.00146071
27,891.55,1.22922,1.11978,0.01489,0.65064,0.60732,0.64437,0.38916,1.48591,1.41017,0.0274,0.00145246,0.00145246,0.00145246
28,923.786,1.236,1.11882,0.01509,0.64826,0.58219,0.61886,0.37463,1.44059,1.35145,0.02606,0.00144421,0.00144421,0.00144421
29,955.944,1.22822,1.07555,0.01464,0.68797,0.61792,0.67263,0.39871,1.56626,1.33432,0.03002,0.00143595,0.00143595,0.00143595
