epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4712,1.59047,2.87586,0.01927,0.21768,0.28535,0.15305,0.05948,1.92666,3.25902,0.03386,0.000542744,0.000542744,0.000542744
2,25.0307,1.53036,2.15572,0.0181,0.28928,0.28161,0.21218,0.09231,2.08482,2.55568,0.04156,0.00109297,0.00109297,0.00109297
3,38.6964,1.58368,2.00755,0.01915,0.24709,0.30051,0.18454,0.07128,2.13963,2.72738,0.04028,0.0016377,0.0016377,0.0016377
4,52.0122,1.68586,1.91815,0.02036,0.29654,0.28218,0.20114,0.07264,2.3102,2.66291,0.04698,0.00164225,0.00164225,0.00164225
5,66.5863,1.67062,1.80392,0.02069,0.28551,0.27525,0.20902,0.08129,2.08988,2.54286,0.04068,0.00163399,0.00163399,0.00163399
6,82.5112,1.6485,1.77681,0.02066,0.36093,0.48351,0.34184,0.14529,1.88689,2.29282,0.0357,0.00162574,0.00162574,0.00162574
7,96.6916,1.60998,1.68347,0.0192,0.39748,0.49369,0.37381,0.17999,1.83806,2.04545,0.03331,0.00161749,0.00161749,0.00161749
8,111.082,1.55364,1.60607,0.01814,0.49468,0.45833,0.4286,0.18909,1.89181,2.09589,0.03698,0.00160924,0.00160924,0.00160924
9,125.939,1.55166,1.60696,0.01841,0.52327,0.37641,0.3903,0.19456,1.84846,1.99686,0.03433,0.00160099,0.00160099,0.00160099
10,140.909,1.53209,1.58861,0.01738,0.42801,0.53157,0.39389,0.20304,1.77163,1.86612,0.03351,0.00159274,0.00159274,0.00159274
11,154.65,1.46074,1.52111,0.01707,0.56641,0.47751,0.50803,0.26499,1.7196,1.69931,0.02903,0.00158448,0.00158448,0.00158448
12,168.433,1.45114,1.41823,0.01736,0.50448,0.58081,0.50985,0.28105,1.70063,1.75988,0.03101,0.00157623,0.00157623,0.00157623
13,182.206,1.43638,1.4314,0.01657,0.56469,0.53516,0.52767,0.2829,1.73471,1.73151,0.03081,0.00156798,0.00156798,0.00156798
14,195.858,1.40747,1.37572,0.01629,0.45199,0.46338,0.40585,0.2123,1.68933,2.07623,0.03026,0.00155973,0.00155973,0.00155973
15,208.819,1.4345,1.38257,0.01629,0.49149,0.50884,0.4554,0.2484,1.67801,2.04835,0.03081,0.00155148,0.00155148,0.00155148
16,221.467,1.3607,1.28417,0.01509,0.55953,0.52596,0.51435,0.28918,1.53726,2.0664,0.02514,0.00154323,0.00154323,0.00154323
17,235.14,1.39136,1.34584,0.01528,0.56777,0.53157,0.54466,0.32634,1.54442,1.94696,0.02598,0.00153497,0.00153497,0.00153497
18,248.913,1.36292,1.31305,0.01485,0.60187,0.55872,0.58817,0.35988,1.51386,1.61835,0.02459,0.00152672,0.00152672,0.00152672
19,262.658,1.36146,1.24054,0.01499,0.68289,0.51894,0.60747,0.37781,1.50537,1.56483,0.02634,0.00151847,0.00151847,0.00151847
20,276.42,1.33919,1.27674,0.01496,0.60279,0.55303,0.57032,0.34587,1.53856,1.57516,0.02816,0.00151022,0.00151022,0.00151022
21,288.994,1.27371,1.17055,0.01419,0.57154,0.53674,0.57706,0.32451,1.63275,1.62093,0.02711,0.00150197,0.00150197,0.00150197
22,301.705,1.32312,1.21968,0.01445,0.57638,0.53497,0.53575,0.29563,1.62459,1.5584,0.02915,0.00149372,0.00149372,0.00149372
23,314.272,1.29336,1.21638,0.01407,0.62799,0.5145,0.57918,0.3615,1.51561,1.66629,0.02569,0.00148546,0.00148546,0.00148546
24,326.896,1.30058,1.19411,0.01409,0.59179,0.58442,0.57202,0.34235,1.49418,1.52468,0.02515,0.00147721,0.00147721,0.00147721
25,339.436,1.22475,1.1511,0.01347,0.62123,0.5929,0.61494,0.36312,1.51379,1.5012,0.0247,0.00146896,0.00146896,0.00146896
26,352.061,1.21895,1.13578,0.01294,0.66284,0.55871,0.60228,0.37772,1.4783,1.42053,0.0235,0.00146071,0.00146071,0.00146071
27,364.6,1.23835,1.1187,0.01415,0.72521,0.57627,0.65775,0.38205,1.52949,1.39508,0.02712,0.00145246,0.00145246,0.00145246
28,378.126,1.24906,1.11872,0.01431,0.64975,0.5857,0.64317,0.38639,1.50564,1.50745,0.02516,0.00144421,0.00144421,0.00144421
29,392.371,1.24111,1.12896,0.01387,0.59147,0.58961,0.60518,0.39148,1.42219,1.56297,0.0227,0.00143595,0.00143595,0.00143595
30,405.891,1.2233,1.11214,0.01316,0.76056,0.59379,0.68369,0.43917,1.3804,1.26341,0.02277,0.0014277,0.0014277,0.0014277
31,419.552,1.26815,1.142,0.01349,0.68408,0.57223,0.65771,0.41454,1.45765,1.40559,0.02316,0.00141945,0.00141945,0.00141945
32,433.636,1.24049,1.13088,0.01331,0.72503,0.63459,0.70003,0.4243,1.46397,1.25891,0.02339,0.0014112,0.0014112,0.0014112
33,446.562,1.19897,1.06244,0.01335,0.66207,0.63889,0.65551,0.41074,1.43607,1.39333,0.02234,0.00140295,0.00140295,0.00140295
34,459.32,1.18794,1.023,0.01332,0.60481,0.60227,0.60038,0.3715,1.49256,1.498,0.0253,0.0013947,0.0013947,0.0013947
35,473.75,1.18418,1.02779,0.01254,0.7051,0.51133,0.60902,0.38386,1.4701,1.38951,0.02512,0.00138644,0.00138644,0.00138644
36,486.452,1.16875,1.00501,0.01247,0.65051,0.58838,0.629,0.3914,1.50942,1.28452,0.02665,0.00137819,0.00137819,0.00137819
37,499.071,1.21669,1.05979,0.01326,0.68088,0.62753,0.67573,0.4531,1.35851,1.26653,0.02167,0.00136994,0.00136994,0.00136994
38,512.736,1.16708,0.98903,0.01192,0.62934,0.67045,0.66288,0.44255,1.3519,1.40654,0.02106,0.00136169,0.00136169,0.00136169
39,525.36,1.14896,0.97081,0.01211,0.73228,0.625,0.69805,0.47586,1.32774,1.24821,0.02112,0.00135344,0.00135344,0.00135344
40,539.096,1.17015,1.00208,0.01268,0.73004,0.59699,0.68775,0.44191,1.44886,1.32399,0.02406,0.00134519,0.00134519,0.00134519
41,551.806,1.19814,1.02781,0.01305,0.74304,0.58031,0.67684,0.44929,1.38763,1.41851,0.02224,0.00133693,0.00133693,0.00133693
42,564.705,1.17069,1.00275,0.01269,0.72811,0.64467,0.72106,0.48911,1.32327,1.17116,0.02096,0.00132868,0.00132868,0.00132868
43,579.547,1.18011,0.97217,0.01238,0.67604,0.68077,0.70858,0.47294,1.33602,1.21946,0.0212,0.00132043,0.00132043,0.00132043
44,593.069,1.16155,0.97739,0.01185,0.73528,0.61648,0.69199,0.45661,1.3542,1.2502,0.02221,0.00131218,0.00131218,0.00131218
45,605.682,1.14203,0.97016,0.0121,0.74666,0.60755,0.69934,0.46309,1.34718,1.24098,0.02112,0.00130393,0.00130393,0.00130393
46,618.329,1.15464,0.94994,0.01159,0.76626,0.63963,0.72352,0.47862,1.31499,1.14523,0.02059,0.00129568,0.00129568,0.00129568
47,630.982,1.19471,1.01671,0.01231,0.71983,0.62374,0.69806,0.45815,1.37498,1.21711,0.02201,0.00128742,0.00128742,0.00128742
48,643.612,1.10472,0.92123,0.01129,0.69499,0.63669,0.70341,0.47441,1.29418,1.18654,0.0203,0.00127917,0.00127917,0.00127917
49,656.307,1.13965,0.94213,0.01167,0.71517,0.68577,0.72869,0.4723,1.30577,1.35038,0.01959,0.00127092,0.00127092,0.00127092
50,668.911,1.08968,0.87752,0.01086,0.79359,0.62597,0.72418,0.4915,1.34648,1.25329,0.02086,0.00126267,0.00126267,0.00126267
51,682.515,1.11026,0.92863,0.01198,0.70647,0.6452,0.70496,0.46921,1.32618,1.20775,0.02059,0.00125442,0.00125442,0.00125442
52,695.22,1.14716,0.9356,0.01166,0.70562,0.6553,0.72765,0.46444,1.34741,1.16403,0.02011,0.00124617,0.00124617,0.00124617
53,707.862,1.10875,0.90577,0.01114,0.72373,0.62835,0.69724,0.45709,1.34294,1.25544,0.01965,0.00123791,0.00123791,0.00123791
54,720.478,1.11859,0.93835,0.01154,0.69909,0.58712,0.63574,0.40797,1.3393,1.28927,0.02125,0.00122966,0.00122966,0.00122966
55,733.244,1.06479,0.848,0.01102,0.67551,0.59956,0.64248,0.42058,1.3173,1.3933,0.02156,0.00122141,0.00122141,0.00122141
56,746.014,1.10121,0.91232,0.0115,0.7263,0.55193,0.65693,0.4283,1.34779,1.49634,0.02218,0.00121316,0.00121316,0.00121316
57,758.612,1.12907,0.91609,0.01193,0.69022,0.67527,0.71895,0.45851,1.3863,1.21683,0.02162,0.00120491,0.00120491,0.00120491
58,771.215,1.10174,0.89203,0.0115,0.73066,0.54924,0.66251,0.43883,1.36223,1.27305,0.02215,0.00119666,0.00119666,0.00119666
59,783.857,1.08037,0.86019,0.01094,0.75428,0.66162,0.74508,0.5126,1.24179,1.1203,0.01944,0.0011884,0.0011884,0.0011884
60,797.414,1.05985,0.83559,0.01137,0.6887,0.7197,0.75421,0.51539,1.25187,1.08907,0.01999,0.00118015,0.00118015,0.00118015
