epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8643,1.62694,3.24736,0.02285,0.2366,0.29293,0.14697,0.06285,1.78482,3.41385,0.03563,0.000549129,0.000549129,0.000549129
2,48.0828,1.52731,2.27869,0.01985,0.31079,0.31692,0.23693,0.09918,2.05229,2.53561,0.04362,0.00109933,0.00109933,0.00109933
3,73.133,1.70443,2.05004,0.0228,0.35323,0.35606,0.25979,0.08384,2.26912,2.42815,0.04581,0.00164402,0.00164402,0.00164402
4,97.1556,1.7516,1.9817,0.02382,0.34126,0.37713,0.29376,0.09818,2.06946,2.43236,0.04322,0.00164225,0.00164225,0.00164225
5,121.165,1.68623,1.81533,0.02191,0.4811,0.42622,0.40579,0.16964,1.97882,2.07654,0.03995,0.00163399,0.00163399,0.00163399
6,146.407,1.66105,1.72308,0.02165,0.45756,0.41403,0.36164,0.15355,1.90141,2.31577,0.03648,0.00162574,0.00162574,0.00162574
7,170.52,1.64071,1.64353,0.02039,0.46133,0.527,0.42232,0.17761,1.9348,1.93578,0.04093,0.00161749,0.00161749,0.00161749
8,195.668,1.62913,1.57314,0.02071,0.47786,0.40909,0.39926,0.17039,2.00467,2.11013,0.0412,0.00160924,0.00160924,0.00160924
9,219.809,1.61328,1.5626,0.0202,0.45887,0.46212,0.40947,0.19622,1.95266,1.92162,0.03772,0.00160099,0.00160099,0.00160099
10,245.092,1.58542,1.53098,0.01919,0.49759,0.50253,0.47354,0.22271,1.80708,1.75185,0.03466,0.00159274,0.00159274,0.00159274
11,270.273,1.55187,1.48511,0.01964,0.51683,0.52273,0.5047,0.2469,1.66802,1.9794,0.03286,0.00158448,0.00158448,0.00158448
12,295.41,1.47393,1.38473,0.01848,0.57136,0.52904,0.58159,0.29782,1.68546,1.94495,0.03256,0.00157623,0.00157623,0.00157623
13,320.652,1.46753,1.40575,0.01855,0.50142,0.54545,0.48837,0.24507,1.73967,1.76377,0.03411,0.00156798,0.00156798,0.00156798
14,344.835,1.45293,1.43659,0.01819,0.65246,0.53283,0.56135,0.29694,1.63603,1.61868,0.03017,0.00155973,0.00155973,0.00155973
15,369.058,1.42891,1.38278,0.01731,0.59263,0.55429,0.54749,0.28954,1.59795,1.69863,0.02922,0.00155148,0.00155148,0.00155148
16,393.37,1.36089,1.25666,0.01597,0.72269,0.49621,0.59366,0.31805,1.64409,1.55031,0.03121,0.00154323,0.00154323,0.00154323
17,418.571,1.37343,1.30373,0.01603,0.61308,0.53621,0.55748,0.31352,1.59823,1.57275,0.03105,0.00153497,0.00153497,0.00153497
18,442.768,1.37705,1.28239,0.01588,0.61657,0.58081,0.62185,0.34595,1.65541,1.5793,0.03174,0.00152672,0.00152672,0.00152672
19,468.193,1.33817,1.18137,0.01585,0.56144,0.62879,0.585,0.31435,1.62788,1.49395,0.03175,0.00151847,0.00151847,0.00151847
20,492.407,1.35733,1.19696,0.01614,0.64807,0.52652,0.59,0.32407,1.57924,1.43507,0.02725,0.00151022,0.00151022,0.00151022
21,516.682,1.36746,1.20893,0.01674,0.65245,0.53883,0.60226,0.34684,1.5559,1.56828,0.02773,0.00150197,0.00150197,0.00150197
22,541.828,1.29163,1.12418,0.01533,0.62776,0.57389,0.63257,0.35706,1.54448,1.39927,0.0267,0.00149372,0.00149372,0.00149372
23,567.082,1.35164,1.215,0.01564,0.66165,0.51641,0.61279,0.3488,1.56532,1.43112,0.02808,0.00148546,0.00148546,0.00148546
24,591.305,1.29302,1.12908,0.01506,0.69884,0.57482,0.64995,0.36952,1.54439,1.43615,0.02827,0.00147721,0.00147721,0.00147721
25,618.037,1.25439,1.07282,0.0144,0.59639,0.58333,0.61257,0.34978,1.56431,1.39036,0.02942,0.00146896,0.00146896,0.00146896
26,645.225,1.24291,1.07212,0.01391,0.59658,0.62879,0.63681,0.37154,1.51768,1.32312,0.0273,0.00146071,0.00146071,0.00146071
27,672.674,1.25895,1.13604,0.01474,0.60398,0.5947,0.62771,0.37305,1.49149,1.32824,0.0276,0.00145246,0.00145246,0.00145246
28,698.028,1.2072,1.06413,0.01427,0.68605,0.58261,0.64913,0.39812,1.40828,1.35974,0.02554,0.00144421,0.00144421,0.00144421
29,723.343,1.24164,1.08347,0.01449,0.71731,0.58017,0.67022,0.39232,1.4694,1.28934,0.02636,0.00143595,0.00143595,0.00143595
30,747.541,1.21182,1.08313,0.01401,0.68915,0.61083,0.66886,0.39969,1.45075,1.31095,0.02447,0.0014277,0.0014277,0.0014277
31,772.95,1.22143,1.08245,0.01425,0.67613,0.6214,0.68683,0.41996,1.44,1.32792,0.02506,0.00141945,0.00141945,0.00141945
32,798.34,1.23143,1.05963,0.0143,0.77113,0.61516,0.70589,0.44218,1.42842,1.2558,0.02554,0.0014112,0.0014112,0.0014112
33,823.524,1.23919,1.0665,0.01451,0.68454,0.60101,0.6357,0.38112,1.44835,1.34167,0.02658,0.00140295,0.00140295,0.00140295
34,847.862,1.18948,1.00323,0.01352,0.72136,0.60859,0.6675,0.39946,1.48234,1.3198,0.0276,0.0013947,0.0013947,0.0013947
35,873.099,1.17519,0.99702,0.01366,0.72628,0.6351,0.67813,0.39899,1.51478,1.36762,0.02997,0.00138644,0.00138644,0.00138644
36,898.581,1.14651,0.95229,0.0126,0.68188,0.63636,0.6902,0.41709,1.42858,1.26429,0.0264,0.00137819,0.00137819,0.00137819
37,922.93,1.22791,1.04918,0.01374,0.73272,0.60164,0.70002,0.42979,1.37312,1.28375,0.02306,0.00136994,0.00136994,0.00136994
38,947.338,1.19051,1.02181,0.01286,0.68202,0.59611,0.67601,0.42252,1.36778,1.23077,0.02324,0.00136169,0.00136169,0.00136169
39,971.509,1.1493,0.96374,0.01284,0.73481,0.60658,0.69366,0.44003,1.34655,1.21803,0.0218,0.00135344,0.00135344,0.00135344
