epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6243,1.81388,3.15095,0.02358,0.19822,0.21212,0.11555,0.0487,1.79517,3.98012,0.03157,0.000538302,0.000538302,0.000538302
2,20.1349,1.575,2.36999,0.01868,0.24362,0.26515,0.16445,0.06727,2.0095,2.85493,0.03653,0.00108855,0.00108855,0.00108855
3,27.1968,1.59364,2.1551,0.01909,0.31325,0.31187,0.24568,0.10308,1.9322,2.62846,0.03508,0.0016333,0.0016333,0.0016333
4,34.1513,1.58068,1.99737,0.01945,0.36414,0.33586,0.27235,0.11958,1.9054,2.29398,0.03499,0.00164225,0.00164225,0.00164225
5,41.0259,1.57453,1.89221,0.01849,0.38791,0.30134,0.30015,0.11692,2.06871,2.28836,0.03474,0.00163399,0.00163399,0.00163399
6,47.6313,1.6382,1.85932,0.01984,0.36362,0.33333,0.28602,0.13061,1.81672,2.35432,0.03299,0.00162574,0.00162574,0.00162574
7,54.9101,1.58057,1.8277,0.01916,0.3637,0.33333,0.27388,0.11938,1.83996,2.39688,0.03392,0.00161749,0.00161749,0.00161749
8,62.8986,1.53605,1.72172,0.01803,0.44339,0.37879,0.33382,0.15655,1.74734,2.22224,0.03073,0.00160924,0.00160924,0.00160924
9,71.5629,1.54831,1.70266,0.01789,0.42152,0.38258,0.35084,0.17223,1.77121,2.14221,0.0296,0.00160099,0.00160099,0.00160099
10,78.4486,1.52208,1.60495,0.01655,0.5146,0.49946,0.48188,0.25363,1.70723,1.78495,0.02841,0.00159274,0.00159274,0.00159274
11,85.3297,1.44233,1.54764,0.01655,0.44922,0.4596,0.41291,0.20844,1.67807,1.83684,0.03004,0.00158448,0.00158448,0.00158448
12,91.9731,1.47065,1.55872,0.01669,0.52966,0.44949,0.45945,0.23887,1.73364,1.86179,0.03,0.00157623,0.00157623,0.00157623
13,98.4211,1.4592,1.54945,0.01657,0.50607,0.5,0.49125,0.2575,1.69944,1.7649,0.02932,0.00156798,0.00156798,0.00156798
14,105.509,1.41049,1.45533,0.01614,0.61082,0.50379,0.51186,0.29997,1.56298,1.70753,0.0261,0.00155973,0.00155973,0.00155973
15,112.614,1.42969,1.44372,0.01591,0.52336,0.43384,0.42222,0.23156,1.67032,3.1026,0.02981,0.00155148,0.00155148,0.00155148
16,119.069,1.37365,1.38556,0.01533,0.50605,0.55051,0.47039,0.25805,1.65244,1.95099,0.02726,0.00154323,0.00154323,0.00154323
17,125.425,1.37326,1.38503,0.01548,0.57616,0.5202,0.53117,0.32228,1.54345,1.68184,0.02643,0.00153497,0.00153497,0.00153497
18,140.127,1.35278,1.35862,0.01478,0.57715,0.48582,0.50823,0.27979,1.60416,1.65178,0.02705,0.00152672,0.00152672,0.00152672
19,146.761,1.38491,1.28729,0.01502,0.59761,0.49369,0.53946,0.32584,1.53242,1.60132,0.02415,0.00151847,0.00151847,0.00151847
20,153.527,1.37905,1.32446,0.01549,0.61367,0.5135,0.53434,0.31502,1.53686,1.55255,0.02405,0.00151022,0.00151022,0.00151022
21,159.812,1.35661,1.2711,0.0147,0.54608,0.54924,0.54441,0.31785,1.59882,1.59471,0.02871,0.00150197,0.00150197,0.00150197
22,166.12,1.3134,1.23299,0.01473,0.58791,0.52904,0.52706,0.31506,1.55299,1.68513,0.02606,0.00149372,0.00149372,0.00149372
23,172.494,1.30697,1.20347,0.01406,0.62682,0.53181,0.58753,0.35101,1.52583,1.48241,0.02456,0.00148546,0.00148546,0.00148546
24,179.158,1.3192,1.22285,0.01482,0.55867,0.52652,0.51092,0.30597,1.60801,1.56891,0.02692,0.00147721,0.00147721,0.00147721
25,185.46,1.24839,1.19527,0.01361,0.63912,0.56187,0.60115,0.36924,1.51853,1.42663,0.02347,0.00146896,0.00146896,0.00146896
26,192.811,1.2606,1.15777,0.01371,0.59636,0.57345,0.56488,0.35306,1.42979,1.53822,0.02316,0.00146071,0.00146071,0.00146071
27,199.563,1.26634,1.19759,0.01409,0.65834,0.54798,0.62077,0.38039,1.50274,1.45637,0.02416,0.00145246,0.00145246,0.00145246
28,207.271,1.27391,1.16146,0.01383,0.63918,0.55813,0.61471,0.37645,1.5045,1.49337,0.02477,0.00144421,0.00144421,0.00144421
29,213.675,1.26298,1.15382,0.01419,0.67968,0.58333,0.64607,0.39168,1.47772,1.43098,0.02479,0.00143595,0.00143595,0.00143595
30,220.559,1.29205,1.15224,0.01416,0.62471,0.56944,0.60233,0.37506,1.46396,1.47625,0.02385,0.0014277,0.0014277,0.0014277
